date_seen,player_tag,player_name,war_type,war_state,war_id,opponent_clan,team_size,attack_order,attacker_th,defender_tag,defender_name,defender_th,stars,destruction,is_fresh,duration_sec
2026-08-07,#8P88Q0GLQ,the dark LORD,cwl,In War,#8GC2PUGRC,VIKING'S,15,25,18,#YC8RGRVQJ,KUNDAN007,16,3,100,True,117
2026-08-08,#8P88Q0GLQ,the dark LORD,cwl,In War,#8GC9R8UJV,TrAyyıldızTeam,15,3,18,#8C9RUVV0Y,∆fearless∆,18,2,84,True,122
2026-08-10,#8P88Q0GLQ,the dark LORD,cwl,War Ended,#8GCYV9QUV,SL SOLDIERS,15,6,18,#LG8UCVYLC,亗ＢＬ│ＰＡＴＨＵＭ,17,3,100,True,123
2026-08-04,#8P88Q0GLQ,the dark LORD,cwl,In War,#8GJGLP982,DDSDAVAO$,15,3,18,#YQ28CJ9Q0,goldymay,15,3,100,True,93
2026-08-05,#8P88Q0GLQ,the dark LORD,cwl,In War,#8GJJJYPCQ,KURDiSTAN iS 1,15,6,18,#R0V0RU20J,Ks༶•┈┈⛧┈♛RESHA,17,3,100,True,53
2026-08-19,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2Q9UGR0LP_2026-08-1823:13:52,COSHP,15,40,18,#20CCQY9YJ,naseer,18,3,100,False,113
2026-08-19,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2Q9UGR0LP_2026-08-1823:13:52,COSHP,15,41,18,#88J8VCU0C,M7SN_X,18,1,69,False,93
2026-08-16,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2QP0YL2Y_2026-08-1605:35:14,breadandbutter,25,40,18,#L2Q8PPCG,Lorde'sAsianBF,18,3,100,False,135
2026-08-16,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2QP0YL2Y_2026-08-1605:35:14,breadandbutter,25,41,18,#YQJRGL2V,gotjava2,18,1,76,True,105
2026-07-24,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2RGYPLL0C_2026-07-2315:51:48,Os 300,20,20,17,#GG8GYLJRJ,Walker,17,3,100,False,85
2026-07-24,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#2RGYPLL0C_2026-07-2315:51:48,Os 300,20,22,17,#8PJRJYL8C,Chico fé 1,15,3,100,False,101
2026-08-13,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#9GJC88YJ_2026-08-1216:38:40,ccvwar,20,6,18,#2G0R9JCG8,Sr.Kaplan,16,3,100,True,89
2026-08-13,#8P88Q0GLQ,the dark LORD,random,War Ended,#9GU0UC9J_vs_#9GJC88YJ_2026-08-1216:38:40,ccvwar,20,7,18,#28CGCR2L2,GIAHUY,16,3,100,True,98
2026-07-19,#8P88Q0GLQ,the dark LORD,random,In War,#9GU0UC9J_vs_#LPLRQJCL_2026-07-1912:02:02,AGIMAT ng PINOY,15,15,17,#Q9RRV09YQ,soriano,16,3,100,True,99
2026-07-19,#8P88Q0GLQ,the dark LORD,random,In War,#9GU0UC9J_vs_#LPLRQJCL_2026-07-1912:02:02,AGIMAT ng PINOY,15,17,17,#29RUG2QLC,raplyn,17,3,100,True,125
2026-08-21,#8P88Q0GLQ,the dark LORD,random,In War,#9GU0UC9J_vs_#LQ9CLCQY_2026-08-2111:09:20,대한민국사람들,15,23,18,#LUUJJ90RJ,Yui,18,3,100,True,124
